id,problem,answer
a7F3KQ,"Let $\mathbb{Q}$ be the set of rational numbers. Let $f:\mathbb{Q}\to\mathbb{Q}$ be a function such that for all $x,y\in\mathbb{Q}$, at least one of the following holds: $f(x+f(y))=f(x)+y$ or $f(f(x)+y)=x+f(y)$. Determine the maximum possible number of elements of the set $\{\,f(x)+f(-x)\mid x\in\mathbb{Q}\,\}$.",2
K9a2R7,"On a board with $2024$ rows and $2023$ columns, Turbo the snail tries to move from the first row to the last row. On each attempt, he chooses to start on any cell in the first row, then moves one step at a time to an adjacent cell sharing a common side. He wins if he reaches any cell in the last row. However, there are $2022$ predetermined, hidden monsters placed in $2022$ of the cells, one in each row except the first and last rows, such that no two monsters share the same column. If Turbo reaches a cell with a monster, his attempt ends and he is transported back to the first row to start a new attempt. The monsters do not move. Suppose Turbo is allowed to take $n$ attempts. Determine the minimum value of $n$ for which he has a strategy that guarantees reaching the last row, regardless of the locations of the monsters.",3
C8F2Q9,"Let $ABC$ be a triangle with $AB<AC<BC$, incenter $I$, and incircle $\omega$. Let $X$ be the point in the interior of side $BC$ such that the line through $X$ parallel to $AC$ is tangent to $\omega$. Similarly, let $Y$ be the point in the interior of side $BC$ such that the line through $Y$ parallel to $AB$ is tangent to $\omega$. Let $AI$ intersect the circumcircle of triangle $ABC$ again at $P\ne A$. Let $K$ and $L$ be the midpoints of $AB$ and $AC$, respectively. Define $S=\angle KIL+\angle YPX$. Find the value of $S$.",180
R4M8ZQ,Let $n$ be a positive integer. We say that a polynomial $P$ with integer coefficients is $n$-good if there exists a polynomial $Q$ of degree $2$ with integer coefficients such that $Q(k)P(k)+Q(k+1)$ is never divisible by $n$ for any integer $k$. Let $S$ be the set of all positive integers $n\le 100$ such that every polynomial with integer coefficients is an $n$-good polynomial. Determine $|S|$.,98
Q7A9L2,"Let $x_1,x_2,\dots,x_{2023}$ be distinct positive real numbers such that $a_n=\sqrt{\left(x_1+x_2+\cdots+x_n\right)\left(\frac{1}{x_1}+\frac{1}{x_2}+\cdots+\frac{1}{x_n}\right)}$ is an integer for every $n=1,2,\dots,2023$. Determine the minimum possible value of $a_{2023}$.",3034
H9T4Q2,"Determine the maximal length $L$ of a sequence $a_1,a_2,\dots,a_L$ of positive integers such that every term is at most $2^{15}$ and there does not exist a consecutive subsequence $a_i,a_{i+1},\dots,a_j$ $(1\le i\le j\le L)$ with signs $s_i,s_{i+1},\dots,s_j\in\{1,-1\}$ satisfying $s_i a_i+s_{i+1} a_{i+1}+\cdots+s_j a_j=0$. Find $L$.",65535
L8Q3MZ,"Let $ABC$ be an acute-angled triangle with circumcircle $\omega$. A circle $\Gamma$ is internally tangent to $\omega$ at $A$ and also tangent to $BC$ at $D$. Let $AB$ and $AC$ intersect $\Gamma$ at $P$ and $Q$, respectively. Let $M$ and $N$ be points on line $BC$ such that $B$ is the midpoint of $DM$ and $C$ is the midpoint of $DN$. Lines $MP$ and $NQ$ meet at $K$ and intersect $\Gamma$ again at $I$ and $J$, respectively. The ray $KA$ meets the circumcircle of triangle $IJK$ again at $X\neq K$. Define $R=\frac{\angle BXP}{\angle CXQ}$. Determine the value of $R$.",1
V7M2Q8,"Let $p$ be a prime number and $a$ a positive integer such that $p^{\,a}+a^4$ is a perfect square. Suppose that all such solutions $(p,a)$ are known and that there are finitely many of them. Determine the total number of such pairs $(p,a)$.",4
N5Q8A4,"Let $n\ge 2$ be a positive integer. Suppose there exist real numbers $a_1<a_2<\cdots<a_n$ and a real number $r>0$ such that the $\tfrac12 n(n-1)$ differences $a_j-a_i$ $(1\le i<j\le n)$ are, in some order, equal to the numbers $r^1,r^2,\dots,r^{\frac12 n(n-1)}$. Let $S$ be the set of all such integers $n\le 10$. Determine $|S|$.",3
P8Q4MZ,"A $\pm1$-sequence is a sequence of $2022$ numbers $a_1,a_2,\dots,a_{2022}$, each equal to either $1$ or $-1$. For any such sequence, consider choosing an integer $k$ and indices $1\le t_1<t_2<\cdots<t_k\le 2022$ such that $t_{i+1}-t_i\le 2$ for all $i$, and define $S=\sum_{i=1}^k a_{t_i}$. Determine the largest integer $C$ such that, for every $\pm1$-sequence, there always exists a choice of $k$ and indices $t_1,\dots,t_k$ with $S\ge C$.",506
